ra,dec,type,const,mag,name,rarad,decrad,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
0.00254,32.7384,Gxy,And,14.89,,0.00066497,0.571393,1,0.78,,,3,5370,IC,,,,,
0.0041,32.832,Gxy,And,15.89,,0.00107338,0.573026,2,0.51,0.44,147.5,3,5371,IC,,,,,
0.00555556,50.7389,Ast,Cas,,,0.00145444,0.885561,3,,,,2,7801,NGC,,,,,
0.00666667,32.7833,Gxy,And,15,,0.00174533,0.572177,4,0.7,,,1,5372,IC,,,,,
0.008,32.7823,Gxy,And,15.23,,0.00209439,0.572159,5,0.68,0.52,153.5,3,5373,IC,,,,,
0.0168056,6.24194,Gxy,Psc,13.6,,0.00439968,0.108942,6,1.1,0.6,52,2,7802,NGC,,,,,
0.0179,4.50001,Gxy,Psc,15.53,,0.00468621,0.07854,7,0.68,0.58,15.9,3,5374,IC,,,,,
0.01799,4.54057,Gxy,Psc,15.31,,0.00470977,0.0792479,8,0.91,0.51,1,3,5375,IC,,,,,
0.0218611,7.74778,**,Psc,,,0.00572323,0.135224,9,,,,2,7804,NGC,,,,,
0.0222222,13.1108,Gxy,Peg,13.1,,0.00581776,0.228827,10,1,0.6,85,2,7803,NGC,,,,,
0.0240833,31.4328,Gxy,Peg,13.2,,0.006305,0.548605,11,1.2,0.9,,2,7805,NGC,,,,,
0.02216,34.5257,Gxy,And,14.76,,0.00580147,0.602587,12,1.66,0.45,4,3,5376,IC,,,,,
0.025,31.4411,Gxy,Peg,13.7,,0.00654498,0.548751,13,1.1,0.8,20,2,7806,NGC,,,,,
0.02541,11.3461,Gxy,Peg,15.09,,0.00665232,0.198027,14,0.74,0.51,135.5,3,1526,IC,,,,,
0.03483,16.5903,Gxy,Peg,15.53,,0.00911847,0.289556,15,0.91,,,3,5377,IC,,,,,
0.0359722,2.94056,Gxy,Psc,14.7,,0.00941751,0.0513224,16,0.5,0.4,95,2,7809,NGC,,,,,
0.0386389,12.9708,Gxy,Peg,13.1,,0.0101156,0.226384,17,1.2,0.9,80,2,7810,NGC,,,,,
